Account ID,Org Name,Supply ID,Abstraction point reference,D-EH10 Resource consent reference number,D-EH10 Reason not available,D-EH12 Consent conditions met for rate of take and volume?,D-EH12 Total volume of exceedance if conditions not met (m3/yr),D-EH13 Consented instantaneous rate of take (L/s),D-EH13 Reason not available,D-EH14 Maximum daily consented volume (m3/day),D-EH14 Maximum weekly consented volume (m3/7 days),D-EH14 Reason not available,D-EH15 Maximum annual consented volume (m3/year),D-EH15 Reason not available,D-EH10 to D-EH15 Data confidence
ACC-00008585,Ashburton District Council,ASH003,G01545 Domain Bore No.5 Well,CRC050225.1,,Yes,,70,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01546 Argyle Park No. 1 Well,CRC050225.1,,Yes,,105,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01547 Argyle Park No. 2 Well,CRC050225.1,,Yes,,105,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01682 Bridge Street No.1,CRC050225.1,,Yes,,105,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01683 Bridge Street No.2,CRC050225.1,,Yes,,105,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01917 Domain Bore No.6 Well,CRC050225.1,,Yes,,70,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G01963 Domain Bore No.7 Well,CRC050225.1,,Yes,,70,,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,G02002 Tinwald Bore,CRC051262.1,,No,,90,,,24192,,788400,,4 - Reliable
ACC-00008585,Ashburton District Council,CHE002,G00228 Chertsey Well,CRC991612,,Yes,,5,,300,,,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,DRO001,G00227 Dromore Well,CRC170019,,No,10646,3.8,,240,,,57000,,4 - Reliable
ACC-00008585,Ashburton District Council,HAK001,G00231 Hakatere Upper Well,CRC991485,,No,,5,,200,,,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,HIN001,G00230 Hinds Well,CRC041517,,No,,18,,648,,,,Measure Not Applicable,4 - Reliable
ACC-00008585,Ashburton District Council,MAY001,G01968 Mayfield Deep Well,CRC120547,,Yes,,3.5,,300,,,50000,,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,"S00223 Methven Gallery, Ashburton Riv",CRC011923,,No,258374,36,,,,Measure Not Applicable,470000,,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,S00224 Methven/Springfield Gallery,CRC002108,,No,,20,,1328,,,484720,,4 - Reliable
ACC-00008585,Ashburton District Council,MON001,S00221 Hinds River Gorge,CRC052628,,Yes,,29,,1195,,,401500,,4 - Reliable
ACC-00008585,Ashburton District Council,MTS001,S00219 Woolshed Creek,CRC022026,,Yes,,4.9,,,,Measure Not Applicable,65000,,4 - Reliable
ACC-00008585,Ashburton District Council,RAK001,G01873 Rakaia Deep Bore 1,CRC244450,,Yes,,30,,2562,,,374000,,4 - Reliable
ACC-00008585,Ashburton District Council,RAK001,G11218 Rakaia Deep Bore 2,CRC244450,,Yes,,30,,2562,,,374000,,4 - Reliable
ACC-00008580,Auckland Council,AWH300,Awhitu,40923,,Yes,,,Measure Not Applicable,50,,,10000,,5 - Highly Reliable
ACC-00008580,Auckland Council,MAH003,Mahurangi,REG-6464,,Yes,,,Measure Not Applicable,90,,,12000,,5 - Highly Reliable
ACC-00008580,Auckland Council,MAR007,Martin's bay,35768,,Yes,,,Measure Not Applicable,140,,,15000,,5 - Highly Reliable
ACC-00008580,Auckland Council,PIH300,Piha Bore,WAT60353048,,Yes,,,Measure Not Applicable,28,,,7780,,5 - Highly Reliable
ACC-00008580,Auckland Council,SHA002,Shakespear,32754,,Yes,,,Measure Not Applicable,100,,,15000,,5 - Highly Reliable
ACC-00008580,Auckland Council,TAP007,Tapapakanga,WAT60409617,,Yes,,,Measure Not Applicable,50,,,10000,,5 - Highly Reliable
ACC-00008580,Auckland Council,TAW001,Tawharanui,WAT60414077,,Yes,,,Measure Not Applicable,50,,,13000,,5 - Highly Reliable
ACC-00008580,Auckland Council,WAI222,Waitawa,WAT60382059,,Yes,,,Measure Not Applicable,70,,,12000,,5 - Highly Reliable
ACC-00008580,Auckland Council,WHA018,Waharau,136167.01.01,,Yes,,,Measure Not Applicable,40,,,7000,,5 - Highly Reliable
ACC-00008498,Buller District Council,INA002,G00957,RC-2019-0021,,Yes,,2,,173,1211,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,LIT003,S00884,RC96064,,,,,Measure Not Applicable,57,399,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,S00010,RC01283,,,,50,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,S10096,RC01283,,,,2.5,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,PUN001,S00013,RC06183,,Yes,,,Measure Not Applicable,345,2415,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,REE001,G00023,RC01283,,Yes,,20,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,S00011,RC01281,,,,40,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,S10095,RC-2022-0010,,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,S00016,RC-2023-0148,,No,56063,190,,10000,70000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001075,Carterton District Council,G00870,Bores - S26/0705,WAR140259,,Yes,,75,,6480,,,1296000,,5 - Highly Reliable
ACC-00001075,Carterton District Council,G03009,Bores - S26/0918,WAR140259,,Yes,,75,,6480,,,1296000,,5 - Highly Reliable
ACC-00001075,Carterton District Council,G03105,Bores - BP34/0216,WAR140259,,Yes,,75,,6480,,,1296000,,5 - Highly Reliable
ACC-00001075,Carterton District Council,S00591,Kaipaitangata Stream,WAR020050,,Yes,,80,,5000,,,,Data Not Available,5 - Highly Reliable
ACC-00001635,Central Hawke's Bay District Council,KAI012,Spring,AUTH-118076-01,,Yes,,0.7,,,420,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,KAI012,Well 3130,AUTH-106552-01,,Yes,,1,,,605,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,POR003,Well 4993,AUTH-118048-01,,Yes,,10.2,,,6169,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,TAK001,Well 1762,AUTH-121511-01,,Yes,,19,,,,Measure Not Applicable,410800,,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI004,"Well 5617, 5676, 15107, 16892, 16893",AUTH-113708-03,,Yes,,100,,,60480,Measure Not Applicable,3144960,,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI005,Well 2402,AUTH-113776-01,,Yes,,35,,,21168,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,WAI005,"Well 5618, 5619, 17130",AUTH-127023-01,,Yes,,155,,,52872,Measure Not Applicable,2401700,,4 - Reliable
ACC-00008538,Central Otago District Council,CRO001,Cromwell Bore 2 and Bore 4,RM22.319.01,,Yes,,210,,18000,,,,Measure Not Applicable,4 - Reliable
ACC-00008538,Central Otago District Council,LAK028,"Lake Dunstan Bore 1, Bore 2 and Bore 3",RM22.317.01.V1,,No,0,187.5,,16200,,,2430000,,3 - Less Reliable
ACC-00008538,Central Otago District Council,OMA005,Manuherikia River,99169,,Yes,,35,,1000,,,,Measure Not Applicable,4 - Reliable
ACC-00008538,Central Otago District Council,PAT003,Sowburn Stream,RM16.277.01.V1,,No,0,9.7,,,,Measure Not Applicable,312480,,4 - Reliable
ACC-00008538,Central Otago District Council,PIS002,Pisa Village Bore 1 and 2,RM17.138.01,,No,0,40,,810,5670,,199290,,4 - Reliable
ACC-00008538,Central Otago District Council,RAN002,East Eweburn Spring-concrete weir,RM21.224.02,,No,,28,,,,Measure Not Applicable,72576,,3 - Less Reliable
ACC-00008538,Central Otago District Council,RAN002,Eweburn Creek-Infiltration Gallery,RM21.224.03,,No,,28,,,,Measure Not Applicable,870912,,3 - Less Reliable
ACC-00008538,Central Otago District Council,ROX001,Roxburgh Bore 1 and Bore 3,2005.764.V1,,Yes,,58,,3000,,,,Measure Not Applicable,4 - Reliable
ACC-00001252,Chatham Islands Council,G01394,Tikitiki Hill Bore,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001252,Chatham Islands Council,S00858,Lake Rangitai,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,AYLMERS WELL,N37/0007,,Yes,,,Measure Not Applicable,1200,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,AKA001,SETTLERS HILL WELL,N36/0056,,Yes,,4,,350,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BIR001,JONES RD WELL,M36/20733,,Yes,,20,,432,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,BRO013,BROOKLANDS WELL-01,M35/7180,,Yes,,,Measure Not Applicable,,13860,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ADDINGTON WELL-01,M35/2270,,Yes,,,Measure Not Applicable,,42350,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ADDINGTON WELL-02,M35/2787,,Yes,,,Measure Not Applicable,,42350,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ALDWINS WELL-01,M35/2587,,Yes,,,Measure Not Applicable,,70000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ALDWINS WELL-02,M35/3813,,Yes,,,Measure Not Applicable,,70000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ASTON WELL-01,M35/7216,,Yes,,,Measure Not Applicable,,39312,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ASTON WELL-02,M35/7215,,Yes,,,Measure Not Applicable,,39312,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,AUBURN WELL-05,M35/7600,,Yes,,,Measure Not Applicable,,45500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,AVONHEAD WELL-05,BX23/0428,,Yes,,,Measure Not Applicable,,33250,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,AVONHEAD WELL-07,BX23/0430,,Yes,,,Measure Not Applicable,,33250,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BELFAST WELL-02,M35/10632,,Yes,,,Measure Not Applicable,,35000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BELFAST WELL-03,BX42/2762,,Yes,,,Measure Not Applicable,,44150,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BEN RARERE WELL-01,BX24/1710,,Yes,,,Measure Not Applicable,,42336,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BEN RARERE WELL-02,BX24/1711,,Yes,,,Measure Not Applicable,,42336,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BLIGHS WELL-04,BX24/0965,,Yes,,,Measure Not Applicable,,39000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BLIGHS WELL-05,BX24/0966,,Yes,,,Measure Not Applicable,,39000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-05,M35/9439,,Yes,,,Measure Not Applicable,,62000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-06,BX24/0187,,Yes,,,Measure Not Applicable,,44000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-07,BX24/0188,,Yes,,,Measure Not Applicable,,62000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-08,BX24/0189,,Yes,,,Measure Not Applicable,,44000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-09,BX24/0190,,Yes,,,Measure Not Applicable,,44000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,BURNSIDE WELL-10,BX24/0191,,Yes,,,Measure Not Applicable,,62000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CARTERS WELL-01,M35/2789,,Yes,,,Measure Not Applicable,,76020,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CARTERS WELL-02,M35/2790,,Yes,,,Measure Not Applicable,,17500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CARTERS WELL-03,M35/2555,,Yes,,,Measure Not Applicable,,76020,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CARTERS WELL-05,M35/10928,,Yes,,,Measure Not Applicable,,76020,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CROSBIE WELL-02,M35/6040,,Yes,,,Measure Not Applicable,,25200,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CROSBIE WELL-04,M35/18384,,Yes,,,Measure Not Applicable,,49980,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,CROSBIE WELL-06,BX23/0228,,Yes,,,Measure Not Applicable,,49980,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DENTON WELL-01,M35/3547,,Yes,,,Measure Not Applicable,,105000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DENTON WELL-02,M35/1866,,Yes,,,Measure Not Applicable,,105000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DENTON WELL-03,M35/1865,,Yes,,,Measure Not Applicable,,105000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DENTON WELL-04,M35/3546,,Yes,,,Measure Not Applicable,,105000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DENTON WELL-05,M35/1864,,Yes,,,Measure Not Applicable,,13104,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DUNBARS WELL-01,M36/4053,,Yes,,,Measure Not Applicable,,133000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DUNBARS WELL-02,M36/4052,,Yes,,,Measure Not Applicable,,133000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DUNBARS WELL-03,M36/4333,,Yes,,,Measure Not Applicable,,133000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,DUNBARS WELL-05,M36/8019,,Yes,,,Measure Not Applicable,,37800,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,EFFINGHAM WELL-01,M35/1554,,Yes,,,Measure Not Applicable,,24500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,EFFINGHAM WELL-02,M35/1606,,Yes,,,Measure Not Applicable,,53466,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,EFFINGHAM WELL-03,M35/2609,,Yes,,,Measure Not Applicable,,53466,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,ESTUARY WELL-05,BX24/1210,,Yes,,,Measure Not Applicable,,40000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,FARRINGTON WELL-04,M35/9440,,Yes,,,Measure Not Applicable,,30200,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,FARRINGTON WELL-05,BX24/0192,,Yes,,,Measure Not Applicable,,51400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,FARRINGTON WELL-06,BX24/0193,,Yes,,,Measure Not Applicable,,51400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,FARRINGTON WELL-07,BX24/0194,,Yes,,,Measure Not Applicable,,51400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,FARRINGTON WELL-08,BX24/0195,,Yes,,,Measure Not Applicable,,24400,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GARDINERS WELL-01,BX24/1311,,Yes,,,Measure Not Applicable,,27000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GARDINERS WELL-02,BX24/1312,,Yes,,,Measure Not Applicable,,23000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRAMPIAN WELL-05,M35/8660,,Yes,,,Measure Not Applicable,,21168,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRAMPIAN WELL-06,BX24/1327,,Yes,,,Measure Not Applicable,,48000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRAMPIAN WELL-07,BX24/1328,,Yes,,,Measure Not Applicable,,48000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRASSMERE WELL-02,M35/1475,,Yes,,,Measure Not Applicable,,30548,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRASSMERE WELL-03,M35/8087,,Yes,,,Measure Not Applicable,,45360,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,GRASSMERE WELL-04,BX24/2761,,Yes,,,Measure Not Applicable,,2800,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,HILLMORTON WELL-02,M36/1058,,Yes,,,Measure Not Applicable,,71365,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,HILLMORTON WELL-04,M36/4073,,Yes,,,Measure Not Applicable,,71365,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,HILLS WELL-05,M35/10325,,Yes,,,Measure Not Applicable,,28000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,HILLS WELL-06,BX24/0457,,Yes,,,Measure Not Applicable,,28000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,HILLS WELL-07,BX24/0350,,Yes,,,Measure Not Applicable,,21000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,JEFFREYS WELL-06,M35/6667,,Yes,,,Measure Not Applicable,,39312,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,JEFFREYS WELL-07,BX24/0533,,Yes,,,Measure Not Applicable,,18000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,JEFFREYS WELL-08,BX24/0532,,Yes,,,Measure Not Applicable,,23000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,JEFFREYS WELL-09,BX24/0534,,Yes,,,Measure Not Applicable,,18718,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,KAINGA WELL-01,M35/6213,,Yes,,,Measure Not Applicable,,9100,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,KEYES WELL-01,M35/18732,,Yes,,,Measure Not Applicable,,50120,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,KEYES WELL-02,M35/18733,,Yes,,,Measure Not Applicable,,31500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,KEYES WELL-03,M35/18734,,Yes,,,Measure Not Applicable,,50120,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,KEYES WELL-03,M35/18734,,Yes,,,Measure Not Applicable,,50120,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-03,M35/2260,,Yes,,,Measure Not Applicable,,66752,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-03,M35/2260,,Yes,,,Measure Not Applicable,,66752,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-04,M35/18398,,Yes,,,Measure Not Applicable,,39690,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-04,M35/18398,,Yes,,,Measure Not Applicable,,39690,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-05,BX24/0993,,Yes,,,Measure Not Applicable,,21000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,LAKE TERRACE WELL-05,BX24/0993,,Yes,,,Measure Not Applicable,,21000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-01,M36/4591,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-02,M36/2828,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-03,M36/1356,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-04,M36/1363,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-05,M36/1195,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAIN PUMPS WELL-06,M36/0985,,Yes,,,Measure Not Applicable,,212688,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MARSHLANDS WELL-01,M35/7813,,Yes,,,Measure Not Applicable,,90720,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MARSHLANDS WELL-02,M35/7814,,Yes,,,Measure Not Applicable,,90720,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAYS WELL-04,M35/1945,,Yes,,,Measure Not Applicable,,76202,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAYS WELL-05,M35/7319,,Yes,,,Measure Not Applicable,,36288,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MAYS WELL-06,BX24/2814,,Yes,,,Measure Not Applicable,,45360,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008533,Christchurch City Council,CHR009,MONTREAL WELL-01,M35/2243,,Yes,,,Measure Not Applicable,,76202,,,Measure Not Applicable,5 - Highly Reliable
