Account ID,Org Name,Network ID,W-EH5 Type of resource consent,W-EH5 Comments,W-EH6 Resource consent reference number,W-EH7 Resource consent expiry date,W-EH7 Comments,W-EH7 Currently operating under this consent?,W-EH8 Consent status,W-EH8 Comments,W-EH5 to W-EH8 Data confidence
ACC-00001034,Horowhenua District Council,WWN-00188,Discharge to land,Waitarere Beach WWTP irrigation to land,ATH-2002009762.01,2044-07-01 00:00:00,Waitarere Beach WWTP,Yes,Active,,5 - Highly Reliable
ACC-00001034,Horowhenua District Council,WWN-00188,Discharge to air,Waitarere Beach WWTP odour,ATH-2017201585.00,2044-07-01 00:00:00,Waitarere Beach WWTP,Yes,Active,,5 - Highly Reliable
ACC-00001012,Hurunui District Council,WWN-00192,Land-use consent,,CRC202393,2025-02-10 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00189,Land-use consent,,CRC094286,2043-07-22 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00189,Discharge to land,,CRC260157,2050-05-19 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00190,Discharge to land,,CRC144853,2030-07-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00191,Discharge to water,,CRC950619,2030-03-16 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00191,Discharge to land,,CRC950620,2030-03-16 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00192,Discharge to air,,CRC153177,2050-02-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00192,Land-use consent,,CRC153178,2050-02-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00192,Discharge to land,,CRC173076,2050-02-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00192,Discharge to air,,CRC173077,2050-02-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00193,Discharge to water,,CRC920722.1,2027-04-30 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00194,Discharge to land,,CRC950606,2030-03-16 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,Discharge to water,,CRC170833,2030-07-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,Land-use consent,,CRC170945,2052-01-26 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,Land-use consent,,CRC193384,2052-01-25 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,"Discharge Water into Water,",,CRC193385,2052-01-25 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,Discharge to air,,CRC951960,2030-07-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001012,Hurunui District Council,wwn-00195,Discharge to land,,CRC951961.1,2030-07-20 00:00:00,,Yes,Active,,4 - Reliable
ACC-00008502,Invercargill City Council,ICC Bluff Sewage,Coastal permit,"To discharge treated sewage and wastewater into the coastal and marine area for the purpose of wastewater disposal in Foveaux Strait, Bluff (Restricted Coastal Activity)",AUTH- 98126,2025-12-31 00:00:00,,Yes,Active,Applied for 3 year consent with same conditions while Government introduces Wastewater Environmental Performance Standards,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Bluff Sewage,Coastal permit,To occupy the coastal marine area with a sewage outfall pipeline at Ocean Beach Bluff,AUTH- 99062,2025-12-31 00:00:00,,Yes,Active,Applied for 3 year consent with same conditions while Government introduces Wastewater Environmental Performance Standards,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Coastal permit,"To discharge up to 90,000 cubic metres of treated wastewater to the New River Estuary via a discharge channel from the Clifton Wastewater treatment plant",AUTH- 200749,2029-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Coastal permit,To sporadically discharge screened wastewater to the New River Estuary when compliance with Resource Consent 200749 cannot be achieved due to plant mechanical failure or extreme weather events,AUTH- 200750,2029-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Discharge to land,"To discharge contaminants to land from the Clifton wastewater treatment plant, via seepage from waste treatment processes",AUTH- 200752,2029-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Discharge to land,"To discharge stormwater and leachate to land, in circumstances where it may enter water, at Station Road, Invercargill, from the processing of sludge from wastewater treatment plants",AUTH- 20136275-V2,2029-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Discharge to air,"To discharge contaminants including odour to air from wastewater treatment, including the emission of odour masking agents and emissions from biosolids processing.",AUTH- 20136298-01,2029-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Discharge to land,"To discharge biosolids to land at Christies Road, Sandy Point, Invercargill, from the Clifton wastewater treatment plant",AUTH- 302764-01,2024-12-18 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage,Discharge to air,"To discharge dust and odour to air when putting biosolids into windrows at Christies Road, Sandy Point, from the Clifton wastewater treatment plant",AUTH- 302764-02,2034-12-18 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Invercargill Sewage Reticulation,Coastal permit,"To place two new wastewater pipelines under the beds of the Mokotua Stream and The Waimatua Creek by horizontal directional drilling, and to occupy that space within the Coastal Marine Area.",AUTH- 20202120-01,2055-05-02 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008502,Invercargill City Council,ICC Omaui Sewage,Discharge to land,"To discharge oxidation pond treated effluent to land at Mokomoko Road, Omaui",AUTH- 202189,2029-02-26 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Discharge to air,As above,CRC050316,2031-10-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Land-use consent,As above,CRC050395,2040-05-05 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Land-use consent,As above,CRC050485,OPEN,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Land-use consent,"Applications for a set of new,comprehensive,  site-wide (global) air, land use and discharge to land  consents for the treatment plant  made in November 2024",CRC071328,2041-11-13 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Discharge to air,Individual site within network,CRC101386,2044-12-09 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Discharge to air,Individual site within network,CRC101551,2044-12-09 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Land-use consent,"Applications for a set of new,comprehensive,  site-wide (global) air, land use and discharge to land  consents for the treatment plant  to be made in November 2024",CRC191229,2045-09-15 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Discharge to air,As above,CRC191230,2045-09-15 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Land-use consent,As above,CRC191231,2045-09-15 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Discharge to land,As above,CRC941111,2031-10-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,Dargaville,Discharge to land,Water and Land,3666,2043-06-30 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Glinks Gully,Discharge to land,,7231,2034-10-31 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Kaiwaka,Other (Please identify in the comments section),Water and Land (only land between Pond and Wetland),20040111801,2049-05-31 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Mangawhai,Discharge to land,,14969,2032-09-30 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Maungaturoto,Other (Please identify in the comments section),Water and Land,20010111501,2032-09-30 00:00:00,,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Maungaturoto Rail,Other (Please identify in the comments section),Water and Land,5087,2025-09-30 00:00:00,Currently in renewal process,Yes,Active,,4 - Reliable
ACC-00001094,Kaipara District Council,Te Kopuru,Discharge to water,,20090110201,2044-06-30 00:00:00,,Yes,Active,,4 - Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00207,Discharge to land,Discharge (Land and Air),WGN160002 [33564_33565],2036-10-20 00:00:00,"The Council has applied for resource consent
to amend WGN160002 to authorise the new discharge method
The Council has applied for resource consent
for earthworks to upgrade the LDTA.
The consent has been referred for further technical review.",Yes,Active,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to water,"[22566] - Discharge screened, diluted WW to Mazengarb Drain",WGN030149 [22566],2022-03-31 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to land,[34796] Discharge contaminants to land from sludge in decomissioned sludge lagoons,WGN040098 [34796],2038-10-29 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to air,[32196] Discharge contaminants to air from sludge drying/handling process,WGN130218 [32196],2022-03-31 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to air,[38051] - Discharge to Air; [38050] - Discharge to land,"WGN220189  [38051, 38050]",2042-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to land,[38465] Discharge permit - sediment laden water to land,WGN230028 [38465],2028-03-01 00:00:00,This consent is for construction works to line the stormbasin and covers effects of earthworks and potential impact on nearby water way. The effects on water way remans in place unit 1/03/2058.,Yes,Active,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to water,[2656] - Discharge treated WW to Mazengarb Drain,WGN970255 [2656],2022-03-31 00:00:00,"KCDC is reconsenting WWTP discharge.
GWRC has notified the resource consent application,
notification closed 7 November with minimal submissions.",Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to air,[27633] - Discharge to air from all facilities,WGN970255 [27633],2022-03-31 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Discharge to land,[34837] - Discharge to unlined storage pond,WGN970255 [34837],2022-03-31 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008542,Kawerau District Council,WWN-0029,Discharge to land,,65081,2032-10-31 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008572,Mackenzie District Council,WWN-00210,Discharge to land,Burkes Pass,CRC992607,2040-06-07 00:00:00,,Yes,Active,,
ACC-00008572,Mackenzie District Council,WWN-00211,Discharge to land,Fairlie,CRC992608.1,2038-12-17 00:00:00,,Yes,Active,,
ACC-00008572,Mackenzie District Council,WWN-00212,Discharge to land,Tekapo,CRC042914,2040-03-18 00:00:00,,Yes,Active,,
ACC-00008572,Mackenzie District Council,WWN-00213,Discharge to land,Twizel,CRC172311,2053-04-11 00:00:00,,Yes,Active,,
ACC-00007492,Manawatu District Council,WWN-00214,Discharge to water,Awahuri,Horizons - 103710,2026-07-27 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00215,Discharge to water,Cheltenham,Horizons - 103260,2016-07-17 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Discharge to air,Feilding,Horizons - 106945,2051-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Land-use consent,Feilding river mixing,Horizons - 106946,2025-01-20 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Discharge to water,Feilding discharge to river,Horizons - 106948,2026-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Land-use consent,Feilding sludge,Horizons - 106949,2051-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Discharge to land,Feilding irrigation,Horizons - 106950,2051-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Discharge to land,Feilding groundwater discharge,Horizons - 106951,2051-07-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00217,Discharge to water,Halcombe,Horizons - 101252,2016-06-28 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00217,Discharge to land,Halcombe,Horizons - 101255,2016-06-28 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00218,Discharge to land,Himatangi,Horizons - 105938,2025-07-01 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00219,Discharge to water,Kimbolton,Horizons - 103418,2019-09-01 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00219,Discharge to land,Kimbolton,Horizons - 103419,2019-09-01 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00220,Discharge to water,Rongotea,Horizons - 102242,2017-11-11 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00220,Discharge to land,Rongotea,Horizons - 102245,2017-11-11 00:00:00,,Yes,Operating under s124 RMA,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00222,Coastal permit,Blenheim,U071181,2025-10-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00222,Coastal permit,Blenheim,U110143,2025-10-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00223,Discharge to water,Havelock,U230507,2028-12-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00224,Coastal permit,Picton,U100802,2046-06-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00224,Discharge to water,Picton,U130728,2046-06-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00224,Coastal permit,Picton,U960798,2032-06-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WWN-00225,Discharge to water,Seddon,U230097,2044-03-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001026,Masterton District Council,WWN-00226,Discharge to water,,WAR080010,2029-04-10 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001026,Masterton District Council,WWN-00227,Other (Please identify in the comments section),Discharge to Land and Discharge to Water,WAR090066,2034-12-08 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001026,Masterton District Council,WWN-00228,Discharge to land,,WAR090346,2039-09-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001026,Masterton District Council,WWN-00229,Discharge to land,,WAR050019,2030-09-30 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00230,Discharge to water,,110031,2024-06-08 00:00:00,,Yes,Operating under s124 RMA,Matamata WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00230,Discharge to air,,118686,2024-06-08 00:00:00,,Yes,Operating under s124 RMA,Matamata WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00230,Land-use consent,,118688,2044-05-06 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Wastewater overflows,,105063,2024-08-31 00:00:00,,Yes,Operating under s124 RMA,Comprehensive stormwater discharge consent enables discharges from engineered overflow sites,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to water,,118885,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to water,,118886,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to land,,118887,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to air,,118888,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Land-use consent,,118889,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to water,,119563,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Discharge to air,,138410,2024-12-17 00:00:00,,Yes,Active,Morrinsville WWTP. A new RC application was submitted late 2023 to replace this one.,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00232,Discharge to water,,118187,2028-07-31 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00233,Wastewater overflows,,105062,2024-08-31 00:00:00,,Yes,Operating under s124 RMA,Comprehensive stormwater discharge consent enables discharges from engineered overflow sites,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00233,Land-use consent,,113792,2041-01-18 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00233,Discharge to water,,120309,2035-08-26 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00233,Discharge to land,,121968,2035-08-26 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008588,Ministry of Education,,Measure Not Applicable,,,,,,,,
ACC-00001141,Napier City Council,WWN-00235,Coastal permit,,AUTH-118503-02,2037-06-12 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00001141,Napier City Council,WWN-00235,Discharge to air,,AUTH-119550-02,2037-12-06 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Land-use consent,Land Use consent for earthworks on Saxton Island within the coastal environment overlay.,PM095335 (NRSBU/NCC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Pipeline in the Waimea Estuary between Bell Island and Rabbit Island,RM050862 (NRSBU),2040-10-14 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,"Coastal permit for the disturbance of the foreshore and bed of an estuary over a distance of more than 1,000 metres.  (restricted coastal activity).",RM090563 (NRSBU/TDC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Coastal permit to disturb and occupy the foreshore and seabed for the purposes of constructing the duplicate wastewater pipeline and return pipe.,RM090885 (NRSBU/TDC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Coastal permit to undertake maintenance and repair work on the joints and fittings of the existing estuary pipeline and to maintain the duplicate wastewater pipeline and return pipe.,RM090887 (NRSBU/TDC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Coastal permit for the construction of two pipelines (duplicate wastewater pipeline and return pipe) under the bed of the Waimea Inlet.  (restricted coastal activity).,RM095331 (NRSBU/NCC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Coastal permit for ongoing maintenance of the pipelines under the bed of the Waimea Inlet and to undertake maintenance works on the joints and fittings of the existing estuary pipeline.,RM095332 (NRSBU/NCC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Coastal permit for the deposition of material within the estuary.,RM095333 (NRSBU/NCC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,"Coastal permit for the disturbance of the foreshore and bed of an estuary over a distance of more than 1,000 metres.  (restricted coastal activity).",RM095334 (NRSBU/NCC),2045-09-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to water,Discharge Permits for the aberrational discharge of wastewater to  the CMA,RM165114 (NRSBU),2038-02-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge Permits for the aberrational discharge of wastewater to land,RM165115 (NRSBU),2038-02-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to air,Discharge Permits for the aberrational discharge of wastewater to air,RM165116 (NRSBU),2038-02-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to water,Discharge treated wastewater into the Waimea Inlet,RM171238 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to air,Discharge contaminants (primarily odour) into air,RM171255 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge treated wastewater onto land via irrigation,RM171256 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge treated wastewater to land via seepage,RM171257 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to water,Use and maintenance of a pipe and diffuser outlet structure within the Waimea Inlet,RM171258 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Land-use consent,Earthworks associated with construction of a bund,RM200062 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,"Earthworks associated with the construction of a bund within 200m of the CMA, discharge of sludge to land and air during dewatering and desludging of ponds - Discharging of sludge to land from dewatering and desludging of ponds",RM200063 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to air,"Earthworks associated with the construction of a bund within 200m of the CMA, discharge of sludge to land and air during dewatering and desludging of ponds - Discharge to air, during desludging of ponds",RM200064 (NRSBU),2040-02-21 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge permit to discharge biosolids onto land,RM200638 (NRSBU),2040-03-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to air,Discharge permit to discharge contaminants into air from application of biololids to land,RM200639 (NRSBU),2040-03-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,"Land Use Consent to operate and maintain the Biosolids Application Facility (BAF), and associated activities for the application of biosolids to land",RM200640 (NRSBU),2040-03-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge permit to discharge washdown water and stormwater to land from the BAF,RM200641 (NRSBU),2040-03-16 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Discharge to land,Discharge of treated wastewater to land for irrigation purposes,RM211275 (NRSBU),2043-05-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Land-use consent,Land use consent to construct water tanks within the Coastal Environment Area,RM211278 (NRSBU),2043-05-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Land-use consent,Construction and maintenance of a pipeline for the reticulation of treated wastewater between the Wastewater Treatment Plant on Bell Island to the boundary of the Greenacres Golf Club on Best Island with minor earthworks in the transitional foreshore areas at the end of the causeway,RM220234 (NRSBU),2057-08-24 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,"Land disturbance, coastal disturbance and vegetation clearance for the purpose of regional sewerage scheme wastewater pipeline duplication within the Coastal Marine Area - Bells Island to Saxon Road Pump Station.",RM220940 (NRSBU),2057-08-24 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Coastal permit,Occupation and disturbance of the Coastal Marine Area associated with the installation of buried pipelines between Bell and Best Islands.,RM230486 (NRSBU),2057-09-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to air,"Consent to discharge contaminants, namely wastewater treatment plant gases, to air from a wastewater treatment plant",RM025169 (NCC),2024-12-01 00:00:00,The new consent is under the review process,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to water,Consent for Coastal Permit to discharge treated wastewater to Tasman Bay,RM025169 (NCC),2024-12-01 00:00:00,The new consent is under the review process,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to land,"Consent to use, maintain and renew a pipeline and outfall structure, and to occupy the seabed",RM025169 (NCC),2024-12-01 00:00:00,The new consent is under the review process,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Land-use consent,Consent to deposit in or on the seabed substances from the outfall pipe,RM025169 (NCC),2024-12-01 00:00:00,The new consent is under the review process,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to land,"Consent to discharge wastewater onto or into land, namely the existing oxidation pond and proposed wetlands and flow buffer storage ponds",RM025169 (NCC),2024-12-01 00:00:00,The new consent is under the review process,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to water,RM045202 Fisheries Outfall,RM045202-1-4 (NCC),2040-12-19 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Coastal permit,Accidental discharges from the network. Consent granted 1 April 2012 and varied in 2015.,RM105388A V1 (NCC),2032-04-01 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Discharge to water,Accidental discharges from the network. Consent granted 1 April 2012 and varied in 2015.,RM105388V1 (NCC),2032-04-01 00:00:00,,Yes,Active,,5 - Highly Reliable
